,name,emotion,frame
0,,,1
1,,,1
2,,,1
0,,,2
1,,,2
2,,,2
0,Raju,happy,3
1,,,3
2,Farhan,anger,3
0,Raju,sad,4
1,,,4
2,Farhan,happy,4
0,,,5
1,Farhan,anger,5
2,,,5
0,,,6
1,Farhan,happy,6
2,,,6
0,Raju,sad,7
1,Farhan,anger,7
0,Raju,sad,8
1,Farhan,anger,8
0,Raju,sad,9
1,Farhan,happy,9
0,Raju,sad,10
1,Farhan,happy,10
0,Raju,sad,11
1,Farhan,anger,11
0,,,12
1,,,12
2,,,12
0,Raju,sad,13
1,Farhan,neutral,13
0,Raju,sad,14
1,Farhan,anger,14
2,,,14
0,Raju,sad,15
1,Farhan,anger,15
0,Raju,happy,16
1,Farhan,anger,16
0,Raju,happy,17
1,Farhan,happy,17
0,Raju,anger,18
1,Farhan,neutral,18
0,Raju,anger,19
1,Farhan,anger,19
0,Raju,anger,20
1,Farhan,happy,20
0,Raju,anger,21
1,Farhan,happy,21
0,Raju,anger,22
1,Farhan,anger,22
2,,,22
0,,,23
1,,,23
2,,,23
0,Raju,anger,24
1,Farhan,anger,24
0,Raju,sad,25
1,Farhan,fear,25
0,Raju,neutral,26
1,Farhan,fear,26
0,Raju,sad,27
1,Farhan,happy,27
0,Farhan,anger,28
1,,,28
0,Farhan,neutral,29
1,,,29
0,Farhan,happy,30
1,,,30
0,Farhan,happy,31
1,Raju,sad,31
2,,,31
0,Raju,sad,32
1,Farhan,happy,32
0,Raju,sad,33
1,Farhan,anger,33
0,,,34
1,,,34
2,,,34
0,Raju,sad,35
1,Farhan,happy,35
0,Raju,sad,36
1,Farhan,sad,36
0,Raju,sad,37
1,Farhan,sad,37
0,Raju,sad,38
1,Farhan,anger,38
0,Raju,sad,39
1,Farhan,happy,39
0,Raju,sad,40
1,Farhan,anger,40
0,Raju,sad,41
1,Farhan,happy,41
0,Raju,sad,42
1,Farhan,happy,42
0,,,43
0,,,44
1,,,44
2,,,44
0,,,45
1,,,45
2,,,45
0,,,46
1,,,46
2,,,46
3,,,46
0,,,47
1,,,47
2,,,47
0,,,49
1,,,49
2,,,49
0,,,50
1,,,50
2,,,50
0,,,51
1,,,51
2,,,51
3,,,51
0,,,52
1,,,52
2,,,52
3,,,52
0,,,53
1,,,53
2,,,53
3,,,53
4,,,53
0,,,54
1,Farhan,anger,54
2,,,54
3,,,54
0,,,55
1,Farhan,sad,55
2,,,55
0,,,56
1,,,56
2,,,56
0,,,57
1,,,57
2,,,57
0,Raju,happy,58
1,,,58
2,,,58
